Ic1cccc(c1)N1C(=O)c2cccc(c2C1=O)N(=O)=O	FEXDAO
Brc1ccc2nc(cc(c3ccccc3)c2c1)c1ccccc1	FEYMAZ01
BrC(Br)c1ccc(cc1)C(Br)Br	FIXBAR
Oc1cccc2cc3c(F)c(F)c(Br)c(F)c3nc12	FIYDUN
CC1=C(C(=O)OC(C)(C)O1)c1ccc(F)cc1	FOVREO
Clc1cccc2c1cc1c(Cl)cccc1c2C1CCCCC1	FUXDAE
Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccccc1	GANSUK
Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccc(Br)cc1	GANTAR
FC(F)(F)C1=C2C(=O)N(C(=O)C2=C(N1)c1ccccc1)c1ccccc1	GAQYII
O=C1Cc2c1c1C(=O)Cc1c1C(=O)C(=O)c21	GEFBAV
FC(F)(F)c1ccc(cc1)N1C(=O)c2ccccc2C1=O	GEFZEY
Ic1ccc2NC(=O)C(=O)c2c1	GEHSES
FC(F)(F)C1=C(Oc2c3ccccc3ccc12)c1ccc(cc1)C#N	HEJQUK
FC(F)(F)C1=C(Oc2ccc3ccccc3c12)c1ccc(cc1)C#N	HEJRAR
FC(F)(F)C1=C(Oc2ccc3ccccc3c12)c1c2ccccc2cc2ccccc12	HEJRIZ
FC(F)(F)C1=C(Oc2ccc3ccccc3c12)C1=C(c2c(O1)ccc1ccccc21)C(F)(F)F	HEJRUL
FC(F)(F)c1ccc2c(ccc3c4ccccc4c4ccccc4c23)c1	HEZKEE
Fc1c(F)c(F)c2c(c1F)C(=O)c1c(I)c3c4c(F)c(F)c(F)c(F)c4C(=O)c3c(I)c21	HIGLAL
Clc1ccc2OC=C(C=O)C(=O)c2c1	HIXNEJ
Ic1cc(I)c2OC=C(C=O)C(=O)c2c1	HOFDUD
Clc1cc2C(=O)C(=COc2c(c1)N(=O)=O)C=O	HOFHER
CC1CC(N2CCCC2=O)c2cc(F)ccc2N1	HOJFOD
Fc1ccc(cc1)N1C(=O)C=CC1=O	HOKKIC
Fc1cccc(F)c1N1C(=O)C=CC1=O	HOKKOI
Fc1cc(F)cc(c1)N1C(=O)C=CC1=O	HOKKUO
Fc1cc(F)c(N2C(=O)C=CC2=O)c(F)c1	HOKLAV
Fc1cc(F)cc(c1)N1C(=O)c2ccccc2C1=O	HOKLOJ
Fc1cc(F)c(N2C(=O)c3ccccc3C2=O)c(F)c1	HOKLUP
Fc1c(F)c(F)c(N2C(=O)c3ccccc3C2=O)c(F)c1F	HOKMAW
Fc1ccc(cc1)N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=O	HOKMEA
Clc1ccc(C=O)c(Cl)c1	HUGQOQ
Nc1ccc(Br)cc1Cl	HUGSAE
CC1(C(=O)C=CC1=O)c1ccccc1I	HUWCUZ
Clc1cc(Cl)c(cc1Cl)c1cc(Cl)c(Cl)c(Cl)c1Cl	IDUCUG
Nc1c(Br)ccc(Br)c1c1c(O)ccc2ccccc12	IFILUG
Oc1c(F)c(F)c(F)cc1c1cc(F)c(F)c(F)c1O	INOKAY
Oc1cccc2C(=O)C=C(Cl)C(=O)c12	IPOJUT
Cc1c(N)cc(cc1N(=O)=O)N(=O)=O	ISAXUV01
Fc1c(F)c(F)c(C#Cc2ccc(I)cc2)c(F)c1F	JALKOX
Fc1c(F)c(F)c(C#Cc2ccc(Br)cc2)c(F)c1F	JALKUD
Fc1c(F)c(F)c(C#Cc2ccc(Cl)cc2)c(F)c1F	JALLAK
Fc1c(F)c(C#Cc2ccccc2)c(F)c(F)c1Br	JALLIS
CC(C)(C)c1ccc(cc1)C1=NN=C(O1)c1ccc(Br)cc1	JEQRON
Clc1ccc(cc1Cl)C1CCC(=O)c2ccccc12	JEQVUX01
CC1=NC2=S(S1)SC(=C2)c1ccccc1	JEYHOL
CN1CCN(C)c2c(Br)c(F)c(F)c(Br)c12	JIMTUV
Brc1c(Br)c2ccc3c(Br)c(Br)c4ccc5ccc1c1c5c4c3c21	JOGMUO01
Brc1ccc(cc1)C1=CC(=O)CC1	JOGVUY
Cc1cccc(C(O)=O)c1I	JONQAG
Fc1ccc2c(c1)N(c1ccc(Cl)cc1)C(=C2C#N)C1=CC=CO1	JOZXIH
c1ccc2c(c1)N(c1ccc(cc1)c1ccc(cc1)N1c3ccccc3c3ccccc13)c1ccccc21	KANYUU01
Fc1c(F)c(F)c(c(F)c1F)C1=C(Br)SC(=N1)C1=NC(=C(Br)S1)c1c(F)c(F)c(F)c(F)c1F	KETVOW
Ic1cccc2cc3cccc(I)c3cc12	KUZFAN
Fc1c(F)c(C=O)c(F)c(F)c1C=O	LABRIQ
Fc1nc(F)c(F)c(C#Cc2ccc(cc2)C#Cc2c(F)c(F)nc(F)c2F)c1F	LAHBEC
Fc1nc(F)c(F)c(C#Cc2ccccc2)c1F	LAHBUS
Clc1cccc(c1)C1=CC(=O)C=CC1=O	LEJDAH
FC(F)(F)c1cccc2cnccc12	LOFWOU
Fc1cc(C#C)c(F)cc1C#C	LURNER
Brc1ccc(Br)c2C3c4ccccc4C(c12)C12C4c5ccccc5C(c5ccccc45)C31C(=O)OC2=O	LUXLEW
Clc1cccc(Cl)c1C#CC#Cc1c(Cl)cccc1Cl	LUXPUQ
S=C1Sc2ccccc2C=C1	MAJJOX
Fc1c(F)c(F)c2c3SC=Cc3c3C=CSc3c2c1F	MAKQIZ
S1C=Cc2c1c1ccccc1c1SC=Cc21	MAKQUL
Fc1c(F)c(F)c2c3ccccc3c3ccccc3c2c1F	MAKRAS
CN1N=Cc2c(O)c(Br)cc(Br)c12	MANBEK
FC(F)(F)c1ccc(cc1)C1=NC=C(S1)C1=CN=C(S1)c1ccc(cc1)C(F)(F)F	MAYJEC
OC(=O)c1cccc(Cl)c1	MCBZAC02
FC(F)(F)c1ccc(c(c1)c1cc(ccc1C(F)(F)F)C(F)(F)F)C(F)(F)F	MEBBOL01
OC(=O)C#Cc1ccc(Cl)cc1Cl	MEKKET
OC(=O)C#Cc1ccccc1Cl	MEKLOE
OC(=O)C#Cc1cccc(Br)c1	MEKNEW
ClC1=C(N(C=N1)c1ccccc1)c1ccccc1	MELCOW
Oc1ccc(cc1F)N(=O)=O	MESBUI
Fc1cc(Br)c(C#N)c(Br)c1	MIFXEE
Fc1c(F)c(F)c2cc3ccccc3cc2c1F	MIKGOD
Fc1ccc(cc1F)C1=Nc2ccccc2N1	MINHOI
c1ccc2nc3c4ccccc4c4ccccc4c3nc2c1	MIVRUE
Oc1c(Cl)cc(Cl)cc1C=O	MIXYEY
Clc1ccc2NC(=Cc2c1)C1=Cc2cc(Cl)ccc2N1	MIZCOP
O=C1Sc2ccccc2C=C1	MOCTIH01
Fc1ccc2C(=O)C(Nc2c1)=C1Nc2cc(F)ccc2C1=O	MOGROR
Fc1ccc2NC(C(=O)c2c1)=C1Nc2ccc(F)cc2C1=O	MOGSAE
Clc1ccc2NC(C(=O)c2c1)=C1Nc2ccc(Cl)cc2C1=O	MOGSEI
Fc1cc2NC(C(=O)c2cc1F)=C1Nc2cc(F)c(F)cc2C1=O	MOGSIM
Oc1c(Cl)cc(Cl)c2cccnc12	MOSXUO
CN1C(=NC(=NC1=S)c1ccccc1)C	MUVBUC
Fc1cc(F)c(F)c(C#Cc2ccncc2)c1F	MUYMEA
Fc1cc(C#Cc2ccncc2)c(F)c(F)c1F	MUYMIE
Fc1cc(C#Cc2cccnc2)c(F)c(F)c1F	MUYMOK
CN1C(=Nc2c3ccccc3c3ccccc3c12)c1ccc(Br)cc1	NAMRID
Fc1c(F)c(c(F)c(F)c1Br)c1ccncc1	OCILAP
OC(=O)c1c(F)c(F)c(F)c(C(O)=O)c1F	ODUSEM
C1CN=C(N1)c1ccc(cc1)C1=NCCN1	OGEQIB02
Clc1ccc2NC(=O)C(Sc2c1)=C1Sc2cc(Cl)ccc2NC1=O	OHIXEI
O=C1N2c3ccccc3N=C2c2ccc3C(=O)N4c5ccccc5N=C4c4ccc1c2c34	OHIXUY
Brc1ccc2cc3cc4cc5cc(Br)ccc5cc4cc3cc2c1	OKANUK
Oc1c(I)cc(cc1C=O)N(=O)=O	OMOKIK
Fc1ccc(cc1)C#C	NECMUD01
Clc1ccc(cc1)C#C	NECNAK
Fc1cccc(F)c1C1=C2C=C3c4ccccc4C(=C3C=C2c2ccccc12)c1c(F)cccc1F	NEGBUY
Fc1cccc2C(=O)C(=O)Nc12	NIZVAU
Ic1ccc2N(C(=O)Cc2c1)c1ccccc1	NOVDEJ
FC(F)(F)c1ccc(cc1)C1=CC=C(S1)c1ccc2C(=O)c3cc(ccc3C(=O)c2c1)C1=CC=C(S1)c1ccc(cc1)C(F)(F)F	NUDXAM
Ic1ccc(cc1)C#Cc1ccc(cc1)C#N	NUHDIF
